Machine.num.1,Machine.num.2,Machine.num.3,Machine.num.4,Machine.num.5,Machine.num.6,Machine.num.7,Machine.num.8,Machine.num.9,Machine.num.10
-5.271222357,-2.372791357,-2.304662164,1.203905916,10.37005941,-9.651634288,-4.513903091,-8.61055332,-7.424741724,3.236116572
0.041340893,-0.113984867,7.976727967,-8.455563473,0.27467838,-6.384743257,7.258686005,7.660101276,0.158807002,0.868991127
-2.281568817,-5.406686689,-1.808249407,10.28826168,-5.324289188,-11.2664445,-2.981383105,-4.080948575,2.798223645,-4.772748167
11.17759978,-6.659478101,1.015922931,-9.72585184,-6.762832592,-2.24267524,0.391856462,6.938733785,-8.349023182,-0.82123564
-5.442205325,-3.603565328,-2.987224934,3.954980049,8.146695779,-7.662902208,-3.838010323,-7.957310402,-7.619007079,3.028226357
-3.723460564,-4.184777169,-0.067249845,6.767476739,-2.845451908,-9.740779325,-5.386699803,-1.76158386,2.987988203,-5.501607956
-8.536087811,-2.098308345,-3.448698153,1.429862368,6.840920938,-9.327222501,-1.692061584,-8.13696666,-6.73277716,2.733471084
-0.056948264,-6.587189066,-6.803504615,6.66259947,0.839629949,1.574803284,3.040737821,-7.672136901,-5.164128413,3.262850759
-9.26601951,-3.121703801,-1.561739321,3.352832758,9.658343624,-6.436223189,-3.530654962,-7.849765587,-7.835787822,1.63549609
-0.795714646,-3.364836736,-8.656336439,7.175036022,-1.122630612,-0.535347078,2.572878464,-6.880481877,-5.96789688,1.120149011
-0.549159832,0.530837412,2.779164066,-7.107414438,-3.006614663,-9.734617712,5.069932365,8.695009808,1.581798273,0.931450839
-1.702425252,-3.42619327,-9.386782114,6.668187444,0.788728396,0.266377159,4.357559388,-8.006001799,-4.401586089,2.368957124
-1.12432435,-5.666948509,-9.136435579,7.864717572,-0.722033762,0.50685225,3.254278789,-7.423224293,-4.701934034,0.724131563
-2.090962347,-0.574295166,5.12419479,-7.732678071,-0.11903206,-9.940350534,6.476893392,7.035362322,1.584141514,2.643899718
0.677966301,-6.176409782,-6.692780564,9.750740687,2.078483038,-0.013927736,1.315530677,-7.193442787,-5.935761528,0.834077024
-3.062442774,-5.885838417,-2.676918474,5.765931332,-5.627355852,-7.370544989,-2.184724901,-3.924050831,0.907134709,-6.175064706
-5.690674341,-5.418411353,-3.327333481,7.09082256,-5.610188335,-10.25152235,-5.85041951,-2.702515247,2.43361458,-5.659468224
